ID,Type,SKU,Name,Published,Is featured?,Short description,Description,In stock?,Stock,Low stock amount,Sale price,Regular price,Categories,Tags,Images,Brands,Meta: _headstart_post,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: post_views_count
111,simple,,Fitness Gloves Elite,1,0,,High-quality fitness gloves elite designed for optimal performance and durability.,1,88,12,,417.15,Sports & Fitness,"USB, Vintage, Luxury",https://via.placeholder.com/800x800/FF0000/FFFFFF?text=Product+Image,Sony,1,Material,"Glass, Plastic",1,1,User Group,"Unisex, Men",1,0,680
112,simple,SKU62035,Smart Tablet Plus,1,1,,High-quality smart tablet plus designed for optimal performance and durability.,1,17,8,736.2,887.49,Automotive,Professional,https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,BrightLife,1,,,,,,,,,24
113,simple,SKU97384,Portable Tablet Max,1,1,,High-quality portable tablet max designed for optimal performance and durability.,1,91,13,1208.34,1466.38,Electronics,Wireless,https://images.pexels.com/photos/1232459/pexels-photo-1232459.jpeg,Yamaha,1,Size,"26"", M, 24"", S, 16""",1,0,,,,,296
114,variable,SKU92214,Stainless Steel Pan,1,1,,High-quality stainless steel pan designed for optimal performance and durability.,1,159,20,1549.04,1857.66,Kitchen,"Stereo, USB, Wireless",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,GreenThumb,1,Material,"Rubber, Metal, Silk, Wood",1,1,,,,,606
115,simple,SKU64272,Casual Pants,1,0,,High-quality casual pants designed for optimal performance and durability.,1,199,11,,1758.67,Clothing,Modern,https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,Yamaha,1,Color,"Pink, White, Purple, Red, Brown",1,1,,,,,340
116,simple,SKU56716,Premium Jacket Collection,1,1,,High-quality premium jacket collection designed for optimal performance and durability.,1,81,18,273.62,399.03,Clothing,,https://picsum.photos/600/600,Canon,1,User Group,"Men, Boys & Girls, Women, Adult",1,1,Size,"24"", XXL, M, 12""",1,1,724
117,simple,SKU96973,Leather-Clad Leisure Chair,1,0,,High-quality leather-clad leisure chair designed for optimal performance and durability.,1,47,11,,1417.27,Rocking Chair,Vintage,https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,Yamaha,1,,,,,,,,,832
118,simple,SKU95334,Modern Hoodie,1,0,,High-quality modern hoodie designed for optimal performance and durability.,1,14,12,944.49,1521.53,Clothing,"7.1 D, Bass",https://picsum.photos/800/800,Adidas,1,Color,"Yellow, Green",1,0,,,,,332
119,variable,SKU81325,Digital Smartwatch HD,1,0,,High-quality digital smartwatch hd designed for optimal performance and durability.,1,197,13,922.96,1186.62,Pet Supplies,"Premium, Vintage",https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,Wilson,1,User Group,"Unisex, Women, Boys & Girls, Adult, Men",1,1,,,,,4
120,simple,SKU96587,Designer Pants,1,1,,High-quality designer pants designed for optimal performance and durability.,1,61,17,121.07,165.76,Clothing,"7.1 D, Hi-Fi",https://images.unsplash.com/photo-1585155770447-2f66e2a397b5,Sony,1,Material,"Leather, Ceramic, Metal, Glass",1,0,Capacity,"500ml, 330 ml, 2L",1,1,568
121,variable,SKU35221,Wireless Smartwatch Pro,1,1,,High-quality wireless smartwatch pro designed for optimal performance and durability.,1,146,6,250.97,306.18,Electronics,,https://images.pexels.com/photos/1630344/pexels-photo-1630344.jpeg,KitchenAid,1,,,,,,,,,803
122,variable,SKU22528,Athletic Shoes,1,0,,High-quality athletic shoes designed for optimal performance and durability.,1,173,6,727.67,840.19,Sports & Fitness,"Eco-Friendly, Stereo",https://picsum.photos/700/700,Spalding,1,,,,,,,,,643
123,simple,SKU39590,Digital Charger HD,1,1,,High-quality digital charger hd designed for optimal performance and durability.,1,179,11,796.32,1258.79,Electronics,"Premium, Bluetooth",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,SoundSphere,1,,,,,,,,,127
124,simple,SKU45905,Premium Speaker System,1,0,,High-quality premium speaker system designed for optimal performance and durability.,1,131,18,1032.93,1192.96,Office Supplies,,https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg,BambooTech,1,,,,,,,,,377
125,simple,,Premium Speaker System,1,0,,High-quality premium speaker system designed for optimal performance and durability.,1,,20,1199.89,1460.06,Health & Beauty,Hi-Fi,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f,Boutique,1,Size,"XXXL, XXL",1,0,,,,,167
126,external,,5-Speed Bike,1,1,,High-quality 5-speed bike designed for optimal performance and durability.,1,15,19,1516.16,1719.09,Bicycle,"Premium, Bass, Bluetooth",https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,FlexiMat,1,,,,,,,,,124
127,simple,SKU68129,Modern Rocking Chair,1,0,,High-quality modern rocking chair designed for optimal performance and durability.,1,13,9,34.98,44.04,Rocking Chair,USB,https://images.pexels.com/photos/19090/pexels-photo.jpg,ACEX,1,,,,,,,,,851
128,simple,SKU72740,Athletic Gloves,1,0,,High-quality athletic gloves designed for optimal performance and durability.,1,109,20,1236.48,1942.38,Sports & Fitness,"Bluetooth, Modern, Professional",https://images.pexels.com/photos/19090/pexels-photo.jpg,Adidas,1,Material,"Silk, Glass, Metal",1,1,Capacity,"500ml, 1L, 2L, 1.5L",1,1,627
129,simple,SKU43401,Premium Charger System,1,0,,High-quality premium charger system designed for optimal performance and durability.,1,174,10,,204.61,Toys & Games,"Bluetooth, Hi-Fi, Vintage",https://images.unsplash.com/photo-1584917865442-de89df76afd3,Sony,1,,,,,,,,,37
130,simple,SKU36319,Digital Speaker HD,1,1,,High-quality digital speaker hd designed for optimal performance and durability.,1,47,13,,1150.43,Office Supplies,"Bass, Wireless",https://picsum.photos/600/600,Boutique,1,Capacity,"330 ml, 1L, 1.5L, 2L, 500ml",1,0,,,,,194
131,simple,SKU94894,Portable Speaker Max,1,1,,High-quality portable speaker max designed for optimal performance and durability.,1,44,13,,1808.39,Books,,https://images.pexels.com/photos/4482900/pexels-photo-4482900.jpeg,Nike,1,Color,"Purple, White, Pink, Gray",1,1,Capacity,"2L, 330 ml, 1L",1,1,568
132,simple,SKU23069,Portable Speaker Max,1,1,,High-quality portable speaker max designed for optimal performance and durability.,1,22,17,485.72,787.35,Books,"Wireless, Bluetooth, Luxury",https://images.pexels.com/photos/298863/pexels-photo-298863.jpeg,Bose,1,,,,,,,,,225
133,simple,SKU84228,Digital Tablet HD,1,1,,High-quality digital tablet hd designed for optimal performance and durability.,1,195,19,876.7,1336.79,Pet Supplies,"Professional, Hi-Fi, USB",https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,FlexiMat,1,User Group,"Adult, Unisex",1,1,Size,"16"", L, 26"", 28""",1,1,576
134,external,SKU97113,Fitness Yoga Mat Elite,1,1,,High-quality fitness yoga mat elite designed for optimal performance and durability.,1,59,10,,1029.03,Sports & Fitness,,https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,KeyTech,1,,,,,,,,,245
135,simple,SKU38747,14-Speed Bike,1,0,,High-quality 14-speed bike designed for optimal performance and durability.,1,67,10,1309.61,1696.39,Bicycle,,https://images.unsplash.com/photo-1504274066651-8d31a536b11a,HP,1,Size,"12"", 16"", XXL, XL, 26""",1,1,Color,"Purple, White",1,1,239
136,external,SKU29202,Portable Charger Max,1,0,,High-quality portable charger max designed for optimal performance and durability.,1,181,18,,25.62,Sweater > Hoodie,,https://images.pexels.com/photos/2529148/pexels-photo-2529148.jpeg,Hatil,1,Size,"26"", XXXL, M",1,0,Capacity,"1L, 500ml, 330 ml",1,1,952
137,simple,SKU67709,Designer Hoodie,1,0,,High-quality designer hoodie designed for optimal performance and durability.,1,129,15,577.0,813.71,Clothing,"Vintage, Bluetooth",https://images.unsplash.com/photo-1585386959984-a4155224a1ad,SoundMax,1,,,,,,,,,268
138,simple,,Classic Blender,1,0,,High-quality classic blender designed for optimal performance and durability.,1,5,14,704.66,1140.01,Kitchen,"USB, 7.1 D",https://images.pexels.com/photos/2062432/pexels-photo-2062432.jpeg,Philips,1,Color,"Yellow, Blue, Purple, Brown",1,0,User Group,"Women, Boys & Girls, Adult, Kids",1,0,34
139,variable,SKU35948,Digital Smartwatch HD,1,0,,High-quality digital smartwatch hd designed for optimal performance and durability.,1,12,12,650.09,932.7,Health & Beauty,Vintage,https://images.pexels.com/photos/19090/pexels-photo.jpg,Nikon,1,,,,,,,,,467
140,simple,SKU77108,Portable Camera Max,1,0,,High-quality portable camera max designed for optimal performance and durability.,1,162,14,1073.05,1511.51,Electronics,"Premium, Wireless",https://images.pexels.com/photos/1029757/pexels-photo-1029757.jpeg,Samsung,1,Capacity,"500ml, 1L, 330 ml, 2L, 1.5L",1,1,Material,"Plastic, Cotton, Rubber, Glass",1,0,674
141,simple,SKU67436,Premium Smartwatch System,1,1,,High-quality premium smartwatch system designed for optimal performance and durability.,1,185,15,,906.86,Accessories,,https://images.pexels.com/photos/1630344/pexels-photo-1630344.jpeg,LG,1,Capacity,"330 ml, 2L, 1L, 500ml, 1.5L",1,0,Color,"Black, Gray, White, Yellow",1,0,774
142,external,SKU54890,Premium Camera System,1,0,,High-quality premium camera system designed for optimal performance and durability.,1,196,19,,1738.14,Sweater > Hoodie,7.1 D,https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,Samsung,1,Size,"12"", S, 16"", XL",1,0,Capacity,"500ml, 1.5L",1,1,828
143,external,SKU33478,Portable Tablet Max,1,0,,High-quality portable tablet max designed for optimal performance and durability.,1,16,16,32.15,38.73,Books,Professional,https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,Adidas,1,Color,"Red, Purple",1,1,Material,"Rubber, Glass",1,0,548
144,simple,SKU91505,9-Speed Bike,1,0,,High-quality 9-speed bike designed for optimal performance and durability.,1,182,18,588.76,885.63,Bicycle,"Eco-Friendly, Premium",https://images.unsplash.com/photo-1572635196237-14b3f281503f,GreenThumb,1,Capacity,"2L, 330 ml, 500ml, 1L, 1.5L",1,0,Size,"16"", XXL, XXXL",1,0,510
145,variable,SKU48746,Portable Tablet Max,1,0,,High-quality portable tablet max designed for optimal performance and durability.,1,113,8,,949.89,Sweater > Hoodie,"Premium, Wireless, Vintage",https://images.pexels.com/photos/19090/pexels-photo.jpg,Philips,1,Size,"24"", 26"", 28"", XXL, M",1,0,Material,"Cotton, Silk, Rubber",1,1,640
146,simple,SKU66815,Professional Bike Gear,1,1,,High-quality professional bike gear designed for optimal performance and durability.,1,155,19,1217.97,1495.74,Sports & Fitness,"Bluetooth, Vintage",https://images.pexels.com/photos/1232459/pexels-photo-1232459.jpeg,GreenThumb,1,Color,"Brown, Green",1,0,Material,"Rubber, Plastic",1,1,2
147,simple,SKU15846,Hi-Fi Headphones,1,1,,High-quality hi-fi headphones designed for optimal performance and durability.,1,149,13,439.34,616.97,Headphone,"Bass, Vintage, Luxury",https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,Nikon,1,User Group,"Men, Boys & Girls, Women",1,0,,,,,41
148,simple,SKU97753,Premium Charger System,1,0,,High-quality premium charger system designed for optimal performance and durability.,1,159,19,681.24,875.83,Automotive,"USB, Hi-Fi",https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,LG,1,,,,,,,,,220
149,simple,SKU19779,Portable Smartwatch Max,1,1,,High-quality portable smartwatch max designed for optimal performance and durability.,1,49,18,650.92,1029.97,Books,USB,https://images.unsplash.com/photo-1505740420928-5e560c06d30e,BrightLife,1,,,,,,,,,578
150,simple,SKU17337,Hi-Fi Headphones,1,0,,High-quality hi-fi headphones designed for optimal performance and durability.,1,121,17,901.92,1064.54,Headphone,Bass,https://images.pexels.com/photos/356056/pexels-photo-356056.jpeg,Samsung,1,Size,"12"", 28""",1,0,,,,,746
151,simple,SKU14480,Leather-Clad Leisure Chair,1,0,,High-quality leather-clad leisure chair designed for optimal performance and durability.,1,153,9,303.12,402.74,Rocking Chair,"Modern, Luxury",https://images.pexels.com/photos/90946/pexels-photo-90946.jpeg,BambooTech,1,User Group,"Men, Adult, Unisex, Women, Kids",1,1,Capacity,"330 ml, 1L, 500ml, 1.5L",1,0,440
152,simple,SKU80277,Premium Speaker System,1,1,,High-quality premium speaker system designed for optimal performance and durability.,1,19,15,,174.3,Accessories,"Professional, Wireless, Premium",https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,Wilson,1,,,,,,,,,228
153,simple,SKU98103,Digital Camera HD,1,0,,High-quality digital camera hd designed for optimal performance and durability.,1,133,8,758.22,958.66,Pet Supplies,"Eco-Friendly, Vintage, Modern",https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,GreenThumb,1,Color,"Brown, Pink, White",1,0,Capacity,"1.5L, 500ml, 330 ml",1,0,382
154,simple,SKU43982,Portable Camera Max,1,0,,High-quality portable camera max designed for optimal performance and durability.,1,62,12,573.04,762.11,Accessories,Bass,https://picsum.photos/600/600,Remax,1,User Group,"Adult, Boys & Girls, Unisex, Kids, Women",1,0,Capacity,"1.5L, 1L, 2L, 500ml",1,0,905
155,simple,SKU41534,Wireless Tablet Pro,1,1,,High-quality wireless tablet pro designed for optimal performance and durability.,1,185,17,,1125.06,Health & Beauty,"Hi-Fi, Professional",https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,SoundMax,1,User Group,"Men, Unisex",1,0,Capacity,"1.5L, 1L, 2L",1,1,563
156,simple,SKU56813,Portable Tablet Max,1,0,,High-quality portable tablet max designed for optimal performance and durability.,1,155,19,69.34,113.11,Office Supplies,"Premium, Eco-Friendly",https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,LG,1,,,,,,,,,133
157,simple,SKU32622,Digital Charger HD,1,0,,High-quality digital charger hd designed for optimal performance and durability.,1,96,12,1387.31,1887.52,Office Supplies,,https://images.unsplash.com/photo-1584917865442-de89df76afd3,Apple,1,Capacity,"500ml, 1L, 1.5L, 2L",1,0,User Group,"Kids, Adult, Boys & Girls, Men",1,0,178
158,simple,SKU94726,Wireless Headphones,1,1,,High-quality wireless headphones designed for optimal performance and durability.,1,18,10,1087.66,1598.48,Headphone,,https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,Samsung,1,,,,,,,,,785
159,variable,SKU22372,Professional Pot Set,1,1,,High-quality professional pot set designed for optimal performance and durability.,1,74,13,,1921.65,Kitchen,,https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f,FitTech,1,Size,"24"", XXXL, 26"", 16""",1,0,Color,"Green, Red, Brown, Yellow",1,1,556
160,simple,SKU52314,Digital Smartwatch HD,1,1,,High-quality digital smartwatch hd designed for optimal performance and durability.,1,110,13,,1151.33,Accessories,,https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,Adidas,1,Material,"Rubber, Plastic, Wood, Glass, Metal",1,0,Capacity,"2L, 1L, 330 ml, 1.5L",1,1,45
161,simple,SKU88650,Premium Tablet System,1,0,,High-quality premium tablet system designed for optimal performance and durability.,1,69,19,1035.38,1697.9,Accessories,"Luxury, Hi-Fi, Eco-Friendly",https://images.unsplash.com/photo-1553456558-aff63285bdd1,Spalding,1,Capacity,"1.5L, 500ml, 1L, 2L, 330 ml",1,0,,,,,589
162,simple,SKU77394,Premium Camera System,1,1,,High-quality premium camera system designed for optimal performance and durability.,1,11,6,325.96,418.29,Accessories,Bluetooth,https://images.unsplash.com/photo-1504274066651-8d31a536b11a,BambooTech,1,,,,,,,,,641
163,simple,SKU92549,Wireless Camera Pro,1,0,,High-quality wireless camera pro designed for optimal performance and durability.,1,195,14,,791.96,Sweater > Hoodie,,https://picsum.photos/600/600,Casio,1,Capacity,"2L, 1.5L, 500ml, 330 ml, 1L",1,1,Color,"Yellow, Green, Red, Blue",1,1,607
164,variable,SKU30878,Wireless Charger Pro,1,0,,High-quality wireless charger pro designed for optimal performance and durability.,1,157,5,534.7,681.22,Accessories,"Stereo, 7.1 D, USB",https://images.unsplash.com/photo-1585386959984-a4155224a1ad,Brothers,1,Material,"Rubber, Wood, Plastic, Leather",1,0,,,,,783
165,simple,SKU27719,14-Speed Bike,1,1,,High-quality 14-speed bike designed for optimal performance and durability.,1,90,14,,1153.88,Bicycle,,https://images.pexels.com/photos/341523/pexels-photo-341523.jpeg,Dell,1,Color,"Pink, Yellow, Gray",1,0,Size,"XXL, XL, 26""",1,1,321
166,simple,,Wireless Headphones Pro,1,0,,High-quality wireless headphones pro designed for optimal performance and durability.,1,100,7,,1409.07,Electronics,"Bass, Premium, Vintage",https://picsum.photos/800/800,Yamaha,1,Capacity,"330 ml, 1L, 2L",1,0,,,,,524
167,simple,SKU24188,9-Speed Bike,1,0,,High-quality 9-speed bike designed for optimal performance and durability.,1,28,15,581.25,788.44,Bicycle,"Hi-Fi, Eco-Friendly, Stereo",https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa,BrightLife,1,User Group,"Women, Adult",1,0,,,,,56
168,simple,SKU32176,Smart Tablet Plus,1,0,,High-quality smart tablet plus designed for optimal performance and durability.,1,163,18,752.98,1097.64,Accessories,"Vintage, Professional, USB",https://via.placeholder.com/700x700/008000/FFFFFF?text=New+Arrival,Boutique,1,,,,,,,,,781
169,grouped,SKU41791,Digital Speaker HD,1,0,,High-quality digital speaker hd designed for optimal performance and durability.,1,196,14,1418.17,1587.15,Pet Supplies,"Eco-Friendly, Luxury, Bluetooth",https://via.placeholder.com/800x800/FF0000/FFFFFF?text=Product+Image,BambooTech,1,User Group,"Women, Kids",1,0,,,,,858
170,simple,SKU98708,Vintage Style Chair,1,1,,High-quality vintage style chair designed for optimal performance and durability.,1,181,16,,951.05,Rocking Chair,7.1 D,https://images.pexels.com/photos/2115217/pexels-photo-2115217.jpeg,Hatil,1,Capacity,"500ml, 2L, 330 ml, 1.5L",1,0,,,,,309
171,simple,SKU59176,Digital Charger HD,1,0,,High-quality digital charger hd designed for optimal performance and durability.,1,179,17,156.37,210.51,Pet Supplies,"Premium, Bluetooth, Eco-Friendly",https://images.pexels.com/photos/4482900/pexels-photo-4482900.jpeg,Spalding,1,,,,,,,,,595
172,simple,SKU18651,Chef's Knife,1,0,,High-quality chef's knife designed for optimal performance and durability.,1,63,13,,1089.04,Kitchen,"Professional, Stereo, Modern",https://images.unsplash.com/photo-1504274066651-8d31a536b11a,Hatil,1,Size,"XXL, 24""",1,1,Capacity,"1.5L, 1L, 330 ml, 2L",1,1,926
173,variable,SKU41230,9-Speed Bike,1,0,,High-quality 9-speed bike designed for optimal performance and durability.,1,189,19,,899.22,Bicycle,"Vintage, Luxury",https://images.unsplash.com/photo-1542291026-7eec264c27ff,KeyTech,1,Material,"Silk, Cotton, Plastic, Metal, Rubber",1,0,Size,"28"", 12"", 26""",1,1,774
174,simple,SKU63653,Premium Tablet System,1,0,,High-quality premium tablet system designed for optimal performance and durability.,1,137,9,748.97,1186.68,Accessories,"Vintage, Wireless, Premium",https://images.unsplash.com/photo-1572635196237-14b3f281503f,Dyson,1,Capacity,"330 ml, 1L, 2L, 500ml, 1.5L",1,0,User Group,"Boys & Girls, Women, Adult",1,0,196
175,simple,SKU69133,Vintage Chair Style,1,0,,High-quality vintage chair style designed for optimal performance and durability.,1,147,12,585.34,690.07,Home & Garden,,https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,Nikon,1,User Group,"Unisex, Women, Men",1,0,Material,"Metal, Plastic, Rubber",1,0,446
176,simple,SKU93031,Wireless Camera Pro,1,0,,High-quality wireless camera pro designed for optimal performance and durability.,1,20,20,,1900.06,Accessories,"Eco-Friendly, Professional, Premium",https://images.unsplash.com/photo-1504274066651-8d31a536b11a,SoundSphere,1,,,,,,,,,643
177,variable,SKU65659,Wireless Camera Pro,1,0,,High-quality wireless camera pro designed for optimal performance and durability.,1,184,17,262.5,339.84,Office Supplies,"Premium, Modern",https://images.unsplash.com/photo-1505740420928-5e560c06d30e,SoundMax,1,Size,"16"", XL, 12""",1,1,Material,"Cotton, Leather, Wood",1,0,829
178,variable,SKU89988,Digital Headphones HD,1,0,,High-quality digital headphones hd designed for optimal performance and durability.,1,184,19,,1796.44,Books,"Vintage, Bass, Premium",https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,Spalding,1,Capacity,"1L, 330 ml, 1.5L, 2L",1,0,Size,"26"", S, 28""",1,0,547
179,simple,SKU45874,Classic Mirror Design,1,0,,High-quality classic mirror design designed for optimal performance and durability.,1,165,11,88.36,126.66,Home & Garden,"Luxury, Vintage",https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,SoundMax,1,Color,"Green, White, Black",1,0,,,,,527
180,simple,,Vintage Style Chair,1,0,,High-quality vintage style chair designed for optimal performance and durability.,1,24,16,105.3,126.2,Rocking Chair,,https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,BrightLife,1,User Group,"Boys & Girls, Women, Unisex, Men",1,0,,,,,718
181,simple,SKU82916,Portable Tablet Max,1,0,,High-quality portable tablet max designed for optimal performance and durability.,1,31,12,360.59,554.53,Automotive,"Eco-Friendly, Luxury",https://images.unsplash.com/photo-1504274066651-8d31a536b11a,Wilson,1,,,,,,,,,385
182,variable,SKU71693,Digital Headphones HD,1,1,,High-quality digital headphones hd designed for optimal performance and durability.,1,83,8,322.82,533.47,Sweater > Hoodie,,https://images.pexels.com/photos/1649771/pexels-photo-1649771.jpeg,KeyTech,1,,,,,,,,,668
183,variable,SKU64710,Portable Speaker Max,1,0,,High-quality portable speaker max designed for optimal performance and durability.,1,78,15,348.51,434.53,Office Supplies,Eco-Friendly,https://images.pexels.com/photos/2078268/pexels-photo-2078268.jpeg,Canon,1,Color,"Yellow, Green, Black, Purple",1,1,User Group,"Kids, Boys & Girls, Men",1,1,314
184,grouped,SKU88854,Classic Blender,1,0,,High-quality classic blender designed for optimal performance and durability.,1,96,10,,1092.91,Kitchen,"Modern, Vintage",https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa,Yamaha,1,,,,,,,,,121
185,simple,SKU25615,Casual Sweater,1,0,,High-quality casual sweater designed for optimal performance and durability.,1,84,8,1435.47,1700.02,Clothing,"7.1 D, USB",https://images.unsplash.com/photo-1542291026-7eec264c27ff,HP,1,,,,,,,,,410
186,simple,SKU49954,Portable Camera Max,1,0,,High-quality portable camera max designed for optimal performance and durability.,1,187,5,,1196.37,Electronics,"Modern, Wireless",https://images.pexels.com/photos/3965557/pexels-photo-3965557.jpeg,Philips,1,,,,,,,,,465
187,variable,SKU46571,Premium Speaker System,1,0,,High-quality premium speaker system designed for optimal performance and durability.,1,173,6,1547.72,1747.04,Accessories,"Bluetooth, Eco-Friendly",https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,SoundSphere,1,Capacity,"500ml, 1L",1,1,Size,"XXXL, 24"", L, S",1,1,434
188,simple,SKU40200,Leather-Clad Leisure Chair,1,0,,High-quality leather-clad leisure chair designed for optimal performance and durability.,1,192,8,,524.79,Rocking Chair,,https://via.placeholder.com/600x600/0000FF/FFFFFF?text=Premium+Product,Samsung,1,User Group,"Women, Unisex",1,1,,,,,372
189,simple,,Smart Speaker Plus,1,0,,High-quality smart speaker plus designed for optimal performance and durability.,1,165,12,,1718.09,Pet Supplies,"Vintage, USB",https://picsum.photos/800/800,ACEX,1,Capacity,"1.5L, 330 ml",1,0,,,,,922
190,grouped,SKU58336,Digital Camera HD,1,1,,High-quality digital camera hd designed for optimal performance and durability.,1,182,15,1027.08,1398.25,Books,Premium,https://images.pexels.com/photos/2536965/pexels-photo-2536965.jpeg,Dyson,1,Material,"Glass, Ceramic, Leather, Metal, Plastic",1,1,,,,,61
191,simple,SKU79376,Portable Tablet Max,1,1,,High-quality portable tablet max designed for optimal performance and durability.,1,8,11,1194.99,1797.0,Books,7.1 D,https://images.pexels.com/photos/1152077/pexels-photo-1152077.jpeg,GreenThumb,1,,,,,,,,,869
192,simple,SKU70376,Fitness Gloves Elite,1,1,,High-quality fitness gloves elite designed for optimal performance and durability.,1,65,15,887.46,1431.96,Sports & Fitness,"Wireless, 7.1 D",https://images.pexels.com/photos/1123260/pexels-photo-1123260.jpeg,Remax,1,Size,"XXL, XL, S",1,1,Capacity,"1.5L, 330 ml",1,0,939
